date,m2,hy_spread,fed_balance,tga,rrp,net_liquidity,reserve_balance,stealth_signal,stealth_absorb_weeks,net_liq_decline_weeks,stealth_alert,sp500
2023-09-08,20747.8,3.85,8101318.0,470881.0,1525403.0,7.6289,,supply,,,,4457.49
2023-09-09,20747.8,3.85,8101318.0,470881.0,1525403.0,7.6289,,neutral,,,,4457.49
2023-09-10,20747.8,3.85,8101318.0,470881.0,1525403.0,7.6289,,neutral,,,,4457.49
2023-09-11,20747.8,3.82,8101318.0,470881.0,1549111.0,7.6289,,neutral,,,,4487.46
2023-09-12,20747.8,3.84,8101318.0,470881.0,1493781.0,7.6289,,supply,,,,4461.9
2023-09-13,20747.8,3.85,8098779.0,521507.0,1546225.0,7.5757,,absorb,,,,4467.44
2023-09-14,20747.8,3.78,8098779.0,521507.0,1492427.0,7.5758,,supply,,,,4505.1
2023-09-15,20747.8,3.79,8098779.0,521507.0,1401403.0,7.5759,,supply,,,,4450.32
2023-09-16,20747.8,3.79,8098779.0,521507.0,1401403.0,7.5759,,neutral,,,,4450.32
2023-09-17,20747.8,3.79,8098779.0,521507.0,1401403.0,7.5759,,neutral,,,,4450.32
2023-09-18,20747.8,3.82,8098779.0,521507.0,1452942.0,7.5758,,neutral,,,,4453.53
2023-09-19,20747.8,3.82,8098779.0,521507.0,1453324.0,7.5758,,neutral,,,,4443.95
2023-09-20,20747.8,3.77,8024090.0,640296.0,1486984.0,7.3823,,absorb,,,,4402.2
2023-09-21,20747.8,3.89,8024090.0,640296.0,1454115.0,7.3823,,supply,,,,4330.0
2023-09-22,20747.8,3.93,8024090.0,640296.0,1427575.0,7.3824,,supply,,,,4320.06
2023-09-23,20747.8,3.93,8024090.0,640296.0,1427575.0,7.3824,,neutral,,,,4320.06
2023-09-24,20747.8,3.93,8024090.0,640296.0,1427575.0,7.3824,,neutral,,,,4320.06
2023-09-25,20747.8,3.97,8024090.0,640296.0,1437310.0,7.3824,,neutral,,,,4337.44
2023-09-26,20747.8,4.04,8024090.0,640296.0,1438301.0,7.3824,,neutral,,,,4273.53
2023-09-27,20747.8,4.03,8002064.0,681143.0,1442805.0,7.3195,,absorb,,,,4274.51
2023-09-28,20747.8,4.09,8002064.0,681143.0,1453366.0,7.3195,,neutral,,,,4299.7
2023-09-29,20747.8,4.03,8002064.0,681143.0,1557569.0,7.3194,,neutral,,,,4288.05
